snapshot_generated_at,data_limit,source,scope,rank,name,name_normalized,region,territorial_level,risk_score,risk_level,confidence_pct,confidence_label,expressiveness_pct,expressiveness_label,recent_cvli_14d,recent_cvli_30d,historical_cvli,neural_score,tension_score,inclusion_score,calm_penalty,territorial_support_pct,historical_support_pct,live_support_pct,score_z,peer_percentile,dynamic_window_days,base_window_days,historical_fallback,trend,top_driver_1,top_driver_1_strength_pct,top_driver_2,top_driver_2_strength_pct,top_driver_3,top_driver_3_strength_pct,explainability_summary,leitura_rapida_gestor,por_que_importa_gestor,confianca_limites_gestor,expressividade_previsao_gestor,proxima_acao_gestor
2026-05-22T14:13:25,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,1,MARACANAU,MARACANAU,rmf,cidade,85.33,crítico,53.9,muito baixa,97.0,muito alta,0,0,654.0,100.0,100.0,0.0,46.7,100.0,100.0,0.0,3.53,100.0,30,14,True,stable,Sinal neural do ST-GAT,100.0,Tensão territorial,100.0,Fallback histórico ativado,55.0,Sinal neural do ST-GAT: 100.0% | Tensão territorial: 100.0% | Fallback histórico ativado: 55.0%,"MARACANAU aparece na posição 1 de 69, com risco 85.3 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de sinal neural do st-gat, com suporte territorial de 100.0% e 0 registros recentes na janela de 30 dias.",Leitura mais fraca; parte do peso vem de fallback histórico e deve ser confirmada em campo.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-22T14:13:25,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,2,CAUCAIA,CAUCAIA,rmf,cidade,83.36,crítico,59.1,baixa,95.6,muito alta,0,1,652.0,96.1,100.0,0.0,46.7,100.0,100.0,50.0,3.43,98.5,30,14,True,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,96.1,Fallback histórico ativado,55.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 96.1% | Fallback histórico ativado: 55.0%,"CAUCAIA aparece na posição 2 de 69, com risco 83.4 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.",Leitura mais fraca; parte do peso vem de fallback histórico e deve ser confirmada em campo.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-22T14:13:25,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,3,ITAPAJE,ITAPAJE,interior,cidade,83.25,crítico,90.0,alta,94.7,muito alta,2,2,45.0,100.0,100.0,100.0,10.0,100.0,62.5,100.0,3.42,97.1,14,14,False,stable,Atividade recente e vizinhança,100.0,Sinal neural do ST-GAT,100.0,Tensão territorial,100.0,Atividade recente e vizinhança: 100.0% | Sinal neural do ST-GAT: 100.0% | Tensão territorial: 100.0%,"ITAPAJE aparece na posição 3 de 69, com risco 83.2 e nível crítico; é prioridade imediata de acompanhamento.","O peso principal vem de atividade recente e vizinhança, com suporte territorial de 100.0% e 2 registros recentes na janela de 30 dias.",Leitura com boa sustentação dos sinais atuais.,O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-22T14:13:25,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,4,VARZEA ALEGRE,VARZEA ALEGRE,interior,cidade,61.78,alto,78.1,moderada,88.2,muito alta,1,1,17.0,97.3,100.0,50.0,13.3,100.0,0.0,100.0,2.26,95.6,14,14,False,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,97.3,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 97.3% | Atividade recente e vizinhança: 50.0%,"VARZEA ALEGRE aparece na posição 4 de 69, com risco 61.8 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-22T14:13:25,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,5,TIANGUA,TIANGUA,interior,cidade,60.24,alto,78.5,moderada,86.9,muito alta,1,1,78.0,89.4,100.0,50.0,6.7,100.0,100.0,100.0,2.17,94.1,14,14,False,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,89.4,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 89.4% | Atividade recente e vizinhança: 50.0%,"TIANGUA aparece na posição 5 de 69, com risco 60.2 e nível alto; é prioridade imediata de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.",O território está bem destacado no ranking frente aos pares.,"Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-22T14:13:25,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,6,ALTO SANTO,ALTO SANTO,interior,cidade,50.95,moderado,78.7,moderada,83.6,alta,1,1,22.0,65.3,100.0,50.0,16.7,100.0,5.0,100.0,1.67,92.6,14,14,False,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,65.3,Atividade recente e vizinhança,50.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 65.3% | Atividade recente e vizinhança: 50.0%,"ALTO SANTO aparece na posição 6 de 69, com risco 51.0 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-22T14:13:25,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,7,JUAZEIRO DO NORTE,JUAZEIRO DO NORTE,interior,cidade,50.0,moderado,75.9,moderada,82.5,alta,2,2,134.0,0.0,100.0,100.0,46.7,100.0,100.0,100.0,1.62,91.2,14,14,False,stable,Atividade recente e vizinhança,100.0,Tensão territorial,100.0,CVLI recente na janela de 30 dias,40.0,Atividade recente e vizinhança: 100.0% | Tensão territorial: 100.0% | CVLI recente na janela de 30 dias: 40.0%,"JUAZEIRO DO NORTE aparece na posição 7 de 69, com risco 50.0 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de atividade recente e vizinhança, com suporte territorial de 100.0% e 2 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-22T14:13:25,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,8,CARIRE,CARIRE,interior,cidade,41.47,moderado,77.4,moderada,79.4,alta,1,1,24.0,42.7,100.0,50.0,46.7,100.0,10.0,100.0,1.16,89.7,14,14,False,stable,Tensão territorial,100.0,Atividade recente e vizinhança,50.0,Sinal neural do ST-GAT,42.7,Tensão territorial: 100.0% | Atividade recente e vizinhança: 50.0% | Sinal neural do ST-GAT: 42.7%,"CARIRE aparece na posição 8 de 69, com risco 41.5 e nível moderado; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 1 registros recentes na janela de 30 dias.","Leitura consistente, mas ainda pede validação operacional pontual.","O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-22T14:13:25,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,9,LIMOEIRO DO NORTE,LIMOEIRO DO NORTE,interior,cidade,29.71,baixo,54.2,muito baixa,75.4,alta,0,0,40.0,92.1,50.0,0.0,46.7,50.0,50.0,0.0,0.52,88.2,14,14,False,stable,Sinal neural do ST-GAT,92.1,Tensão territorial,50.0,Atividade recente e vizinhança,0.0,Sinal neural do ST-GAT: 92.1% | Tensão territorial: 50.0% | Atividade recente e vizinhança: 0.0%,"LIMOEIRO DO NORTE aparece na posição 9 de 69, com risco 29.7 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de sinal neural do st-gat, com suporte territorial de 50.0% e 0 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
2026-05-22T14:13:25,2026-05-15,src/core/orchestrator.py:get_combined_risk,cities_general_top30,10,SOBRAL,SOBRAL,interior,cidade,28.46,baixo,67.5,baixa,74.2,alta,0,0,67.0,68.8,100.0,0.0,46.7,100.0,100.0,0.0,0.45,86.8,14,14,False,stable,Tensão territorial,100.0,Sinal neural do ST-GAT,68.8,Atividade recente e vizinhança,0.0,Tensão territorial: 100.0% | Sinal neural do ST-GAT: 68.8% | Atividade recente e vizinhança: 0.0%,"SOBRAL aparece na posição 10 de 69, com risco 28.5 e nível baixo; é prioridade alta de acompanhamento.","O peso principal vem de tensão territorial, com suporte territorial de 100.0% e 0 registros recentes na janela de 30 dias.",Leitura sensível a ruído; requer conferência adicional antes de decisão forte.,"O território se diferencia do bloco intermediário, mas sem isolamento absoluto.","Verificar eventos recentes, pressão territorial e coerência com inteligência local antes da próxima atualização do ranking."
